2022-06-17 20:50:08.143023	Room 1
2022-06-17 20:50:16.126005	Room 1
2022-06-17 20:50:16.587678	Room 1
2022-06-17 20:50:19.237158	Room 1
2022-06-17 20:50:25.579912	Room 1
2022-06-17 20:50:27.694889	Room 1
2022-06-17 20:50:28.225485	Room 1
2022-06-17 20:50:29.285214	Room 1
2022-06-17 20:50:30.343772	Room 1
2022-06-17 20:50:31.401788	Room 1
2022-06-17 20:50:32.457722	Room 1
2022-06-17 20:50:33.515625	Room 1
2022-06-17 20:50:34.573620	Room 1
2022-06-17 20:50:35.627317	Room 1
2022-06-17 20:50:36.670028	Room 1
2022-06-17 20:50:40.384343	Room 1
2022-06-17 20:50:41.441999	Room 1
2022-06-17 20:50:42.495977	Room 1
2022-06-17 20:50:43.027275	Room 1
2022-06-17 20:50:43.557688	Room 1
2022-06-17 20:50:44.092631	Room 1
2022-06-17 20:50:44.626122	Room 1
2022-06-17 20:50:45.160601	Room 1
2022-06-17 20:50:45.695770	Room 1
2022-06-17 20:50:47.287897	Room 1
2022-06-17 20:50:47.820554	Room 1
2022-06-17 20:50:48.349478	Room 1
2022-06-17 20:50:49.408143	Room 1
2022-06-17 20:50:50.470265	Room 1
2022-06-17 20:50:51.002783	Room 1
2022-06-17 20:50:51.529424	Room 1
2022-06-17 20:50:52.061504	Room 1
2022-06-17 20:50:52.594985	Room 1
2022-06-17 20:50:53.127545	Room 1
2022-06-17 20:50:53.658251	Room 1
2022-06-17 20:50:54.194041	Room 1
2022-06-17 20:50:55.262918	Room 1
2022-06-17 20:50:55.794955	Room 1
2022-06-17 20:50:56.857954	Room 1
2022-06-17 20:50:57.391218	Room 1
2022-06-17 20:50:58.454062	Room 1
2022-06-17 20:50:58.983209	Room 1
2022-06-17 20:50:59.512846	Room 1
2022-06-17 21:07:20.209988	Room 1
2022-06-17 21:07:20.739847	Room 1
2022-06-17 22:06:34.291587	Room 1
2022-06-17 22:06:34.814585	Room 1
2022-06-17 22:06:35.344270	Room 1
2022-06-18 13:09:11.800141	Room 1
2022-06-18 13:09:12.321378	Room 1
2022-06-18 13:09:12.853615	Room 1
2022-06-18 14:15:03.038235	Room 1
2022-06-18 14:15:03.581235	Room 1
2022-06-18 14:15:04.110341	Room 1
2022-06-18 14:22:14.481794	Room 1
2022-06-18 14:22:14.988562	Room 1
2022-06-18 14:22:15.509759	Room 1
2022-06-18 14:24:31.891868	Room 1
2022-06-18 14:24:32.417772	Room 1
2022-06-18 14:46:00.208988	Room 1
2022-06-18 14:46:30.330476	Room 1
2022-06-18 14:46:39.334565	Room 1
2022-06-18 14:47:52.826017	Room 1
2022-06-18 14:50:35.622216	Room 1
2022-06-18 14:50:36.156784	Room 1
2022-06-18 14:51:17.898142	Room 1
2022-06-18 14:51:18.434199	Room 1
2022-06-18 14:52:06.570805	Room 1
2022-06-18 14:52:07.098918	Room 1
2022-06-18 14:52:07.629100	Room 1
2022-06-18 14:55:54.878945	Room 1
2022-06-18 14:56:21.301477	Room 1
2022-06-18 14:56:21.831931	Room 1
2022-06-18 14:56:22.362475	Room 1
2022-06-18 14:56:22.892347	Room 1
2022-06-18 14:57:37.429535	Room 1
2022-06-18 14:57:37.953477	Room 1
2022-06-18 14:57:38.486106	Room 1
2022-06-18 14:57:42.194292	Room 1
2022-06-18 14:57:57.001411	Room 1
2022-06-18 14:57:57.523443	Room 1
2022-06-18 14:58:41.916767	Room 1
2022-06-18 14:58:42.446609	Room 1
2022-06-18 14:58:42.981520	Room 1
2022-06-18 15:22:30.605322	Room 1
2022-06-18 15:22:31.140368	Room 1
2022-06-18 15:25:20.841296	Room 1
2022-06-18 15:25:21.366854	Room 1
2022-06-18 15:26:22.175231	Room 1
2022-06-18 15:26:41.735832	Room 1
2022-06-18 15:26:42.263604	Room 1
2022-06-18 15:26:57.561493	Room 1
2022-06-18 15:26:58.084978	Room 1
2022-06-18 15:26:58.621255	Room 1
2022-06-18 15:26:59.156527	Room 1
2022-06-18 15:26:59.688955	Room 1
2022-06-18 15:27:00.219701	Room 1
2022-06-18 15:28:07.333347	Room 1
2022-06-18 15:28:07.860200	Room 1
2022-06-18 15:28:08.924776	Room 1
2022-06-18 15:28:09.456913	Room 1
2022-06-18 15:28:09.992571	Room 1
2022-06-18 15:28:11.056706	Room 1
